,Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
0,Argentina,2018,Bakery Items,72290.69,71749.94,60.3725,528.2025,59.035
1,Argentina,2018,Beverages,127249.20999999999,128791.56999999999,131.8,525.7825,37.1775
2,Argentina,2018,Dairy Products,28971.41,25935.06,94.5,680.02,54.28666666666667
3,Argentina,2018,Frozen Food,78925.32999999999,87757.40000000001,123.78,991.535,62.292500000000004
4,Argentina,2018,Grains & Cereals,152731.27000000002,156398.0,122.705,676.595,53.57333333333333
5,Argentina,2018,Meat & Seafood,142721.78999999998,135390.41,129.46800000000002,343.79,49.760000000000005
6,Argentina,2018,Prepared Food,95718.55,91724.81,119.48000000000002,738.004,49.291999999999994
7,Argentina,2019,Bakery Items,195752.55,177207.09,105.30428571428571,805.9214285714286,46.08714285714286
8,Argentina,2019,Beverages,144968.54,127617.22,119.21571428571428,499.7628571428572,45.215714285714284
9,Argentina,2019,Dairy Products,92750.51,100831.73999999999,144.5275,835.1225,52.935
10,Argentina,2019,Frozen Food,101200.33,93551.04,104.63333333333333,914.4783333333334,50.36333333333334
11,Argentina,2019,Fruits & Vegetables,133584.35,148821.09,64.36833333333333,679.8466666666667,45.23
12,Argentina,2019,Grains & Cereals,74820.3,84288.58,156.465,843.23,45.9425
13,Argentina,2019,Meat & Seafood,134707.15,145445.17,98.03,863.6025,44.19
14,Argentina,2019,Prepared Food,240272.14,245309.06,93.48625,854.015,51.93125
15,Argentina,2020,Bakery Items,131389.66999999998,143668.35,133.27,678.0533333333334,54.06666666666666
16,Argentina,2020,Beverages,138512.74000000002,136861.63,106.248,888.592,46.958000000000006
17,Argentina,2020,Dairy Products,48907.94,45334.46,117.625,1282.7849999999999,60.214999999999996
18,Argentina,2020,Frozen Food,137480.84,149343.99,57.4475,1029.3625,51.775
19,Argentina,2020,Fruits & Vegetables,152833.11,154349.5,87.675,777.345,52.182500000000005
20,Argentina,2020,Grains & Cereals,37585.33,39273.08,111.63666666666667,759.96,57.06333333333333
21,Argentina,2020,Meat & Seafood,259964.69,272470.25,106.93875,842.7275,50.004999999999995
22,Argentina,2020,Prepared Food,138251.6,143293.96,69.762,434.172,57.86
23,Argentina,2021,Bakery Items,194173.03,189038.59,124.74666666666667,409.7816666666667,51.14000000000001
24,Argentina,2021,Beverages,41928.68,43526.9,118.25999999999999,797.96,45.95
25,Argentina,2021,Dairy Products,22931.47,26227.980000000003,103.315,638.84,52.0
26,Argentina,2021,Frozen Food,32228.120000000003,29198.81,101.80333333333334,930.6899999999999,53.63333333333333
27,Argentina,2021,Fruits & Vegetables,262616.46,272672.94,125.7475,575.56875,51.03375
28,Argentina,2021,Grains & Cereals,156763.14,165642.49000000002,81.03599999999999,787.546,44.542
29,Argentina,2021,Meat & Seafood,151663.49,145312.47,132.894,479.966,55.217999999999996
30,Argentina,2021,Prepared Food,187350.2,183478.4,86.35428571428572,668.5371428571428,50.71857142857142
31,Argentina,2022,Bakery Items,111097.78,111881.62,54.927499999999995,956.8975,54.8275
32,Argentina,2022,Beverages,18178.59,16779.38,106.76,612.54,51.905
33,Argentina,2022,Dairy Products,89774.94,91647.67,131.9175,513.1825,53.792500000000004
34,Argentina,2022,Frozen Food,144488.07,150280.56,129.97833333333332,514.32,57.5
35,Argentina,2022,Fruits & Vegetables,176901.0,173845.78,110.498,973.494,36.986000000000004
36,Argentina,2022,Grains & Cereals,23398.53,21432.11,150.91,780.7,60.33
37,Argentina,2022,Meat & Seafood,60242.89,60393.64,102.325,724.0025,52.8175
